date,ticker,company,sector,industry,open,high,low,close,adj_close,volume,daily_return_pct,price_range
2020-01-03 05:00:00+00:00,AAPL,Apple Inc.,Technology,Consumer Electronics,71.62915285765841,72.45596582996416,71.47246932030643,71.69664764404297,71.69664764404297,146322800,0.09422809525429288,0.9834965096577264
2020-01-03 05:00:00+00:00,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,68.19873883557328,69.1423993363979,67.98989874337225,68.60868835449219,68.60868835449219,5988500,0.6011101171640325,1.1525005930256498
2020-01-03 05:00:00+00:00,ABT,Abbott Laboratories,Healthcare,Medical Devices,76.73996044866419,77.56329133027009,76.5967689069509,76.86524963378906,76.86524963378906,4747000,0.16326459434219245,0.9665224233191907
2020-01-03 05:00:00+00:00,ADBE,Adobe Inc.,Technology,Software - Application,329.1700134277344,332.9800109863281,328.69000244140625,331.80999755859375,331.80999755859375,1577600,0.8020123410904056,4.290008544921875
2020-01-03 05:00:00+00:00,AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,43.83232897416829,44.03767413557583,43.584204522757254,43.94355773925781,43.94355773925781,2358800,0.25375965113574417,0.4534696128185729
2020-01-03 05:00:00+00:00,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,57.34587551314563,58.32857059281139,57.22304133156309,57.83722305297851,57.83722305297851,5415200,0.8568140872140776,1.1055292612483
2020-01-03 05:00:00+00:00,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,48.029998779296875,49.38999938964844,47.540000915527344,48.599998474121094,48.599998474121094,73127400,1.1867576708536471,1.8499984741210938
2020-01-03 05:00:00+00:00,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,197.16325130647385,199.74043238476983,196.3984097337621,198.2523193359375,198.2523193359375,1879000,0.5523686702502086,3.3420226510077384
2020-01-03 05:00:00+00:00,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,93.2249984741211,94.30999755859376,93.2249984741211,93.74849700927734,93.74849700927734,75288000,0.5615430879321186,1.0849990844726705
2020-01-03 05:00:00+00:00,APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,197.667193039716,199.0676868611131,195.35898810831537,195.37628173828125,195.37628173828125,1710400,-1.1589739633599505,3.7086987527977158
2020-01-03 05:00:00+00:00,AVGO,Broadcom Inc.,Technology,Semiconductors,27.315725838404436,27.52994368528839,27.020640541003164,27.03010368347168,27.03010368347168,22870000,-1.045632675560051,0.5093031442852265
2020-01-03 05:00:00+00:00,AXP,American Express Company,Financial Services,Credit Services,114.96517638572772,115.68648186724832,114.6137731410967,115.22410583496094,115.22410583496094,2090600,0.22522424387404855,1.0727087261516175
2020-01-03 05:00:00+00:00,BA,The Boeing Company,Industrials,Aerospace & Defense,328.67449366617245,332.90930760335885,328.34642846245924,330.7919006347656,330.7919006347656,3875900,0.6442261293155827,4.562879140899611
2020-01-03 05:00:00+00:00,BAC,Bank of America Corporation,Financial Services,Banks - Diversified,30.19083912355364,30.33756589902546,30.00095857615073,30.12179374694824,30.12179374694824,50357900,-0.22869644769673084,0.3366073228747304
2020-01-03 05:00:00+00:00,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,290.7699890136719,292.67999267578125,290.2200012207031,290.8500061035156,290.8500061035156,700100,0.027519033210813112,2.459991455078125
2020-01-03 05:00:00+00:00,BLK,"BlackRock, Inc.",Financial Services,Asset Management,433.9179162270898,438.22493206205337,433.7449335278077,435.5179138183594,435.5179138183594,337300,0.36873277904299073,4.479998534245681
